iter,loss,mask-enc,mask-pred,time (ms)
319,0.00020,114.00000,20.00000,93
320,0.00016,112.00000,20.00000,87
321,0.00065,98.00000,24.00000,99
322,0.00053,102.00000,24.00000,97
323,0.00026,110.00000,20.00000,99
324,0.00022,117.00000,20.00000,93
325,0.00020,113.00000,20.00000,105
326,0.00033,112.00000,20.00000,89
327,0.00016,99.00000,24.00000,86
328,0.00109,114.00000,20.00000,94
329,0.00019,114.00000,20.00000,92
330,0.00014,99.00000,24.00000,85
331,0.00093,103.00000,24.00000,85
332,0.00022,133.00000,16.00000,102
333,0.00049,117.00000,20.00000,95
334,0.00013,109.00000,20.00000,90
335,0.00040,86.00000,24.00000,78
336,0.00014,118.00000,20.00000,92
337,0.00029,98.00000,24.00000,95
338,0.00053,116.00000,20.00000,104
339,0.00052,140.00000,16.00000,106
340,0.00012,115.00000,20.00000,91
341,0.00014,116.00000,20.00000,92
342,0.00015,113.00000,20.00000,90
343,0.00015,91.00000,24.00000,81
344,0.00018,109.00000,20.00000,90
345,0.00016,113.00000,20.00000,92
346,0.00046,93.00000,24.00000,81
347,0.00044,94.00000,24.00000,81
348,0.00015,114.00000,20.00000,90
349,0.00032,101.00000,24.00000,85
350,0.00016,87.00000,24.00000,77
351,0.00063,115.00000,20.00000,91
352,0.00046,97.00000,24.00000,80
353,0.00055,111.00000,20.00000,105
354,0.00040,116.00000,20.00000,103
355,0.00060,116.00000,20.00000,91
356,0.00036,137.00000,16.00000,103
357,0.00029,112.00000,20.00000,89
358,0.00017,111.00000,20.00000,91
359,0.00024,113.00000,20.00000,91
360,0.00190,110.00000,20.00000,89
361,0.00040,113.00000,20.00000,92
362,0.00071,111.00000,20.00000,91
363,0.00016,112.00000,20.00000,90
364,0.00019,98.00000,24.00000,83
365,0.00138,99.00000,24.00000,85
366,0.00368,113.00000,20.00000,89
367,0.00087,101.00000,24.00000,85
368,0.00017,115.00000,20.00000,92
369,0.00031,108.00000,20.00000,103
370,0.00015,113.00000,20.00000,110
371,0.00212,109.00000,20.00000,91
372,0.00015,118.00000,20.00000,93
373,0.00067,88.00000,24.00000,77
374,0.00065,112.00000,20.00000,87
375,0.00022,117.00000,20.00000,95
376,0.00018,115.00000,20.00000,92
377,0.00062,112.00000,20.00000,90
378,0.00028,129.00000,16.00000,100
379,0.00020,114.00000,20.00000,91
380,0.00055,90.00000,24.00000,81
381,0.00082,110.00000,20.00000,87
382,0.00055,93.00000,24.00000,82
383,0.00012,116.00000,20.00000,92
384,0.00018,109.00000,20.00000,89
